source,#,Player,GP,GS,Minutes,Minutes,FG,FG,FG,3PT,3PT,3PT,FT,FT,FT,Scoring,Scoring,Rebounds,Rebounds,Rebounds,Rebounds,PF,AST,TO,STL,BLK,Bio Link
,#,Player,GP,GS,TOT,AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,AVG,OFF,DEF,TOT,AVG,PF,AST,TO,STL,BLK,Bio Link
Lebanon Valley,4.0,"Nuneville, Carter 04 Nuneville, Carter",8.0,0.0,41,5.1,1,2,0.5,1,2,0.5,2,2,1.0,5,0.6,0,2,2,0.3,4,0,5,1,0,View Bio
Lebanon Valley,20.0,"Hofsass, Tyson 20 Hofsass, Tyson",14.0,0.0,62,4.4,1,10,0.1,1,5,0.2,1,3,0.333,4,0.3,2,4,6,0.4,13,3,5,3,0,View Bio
Lebanon Valley,21.0,"Helton, Will 21 Helton, Will",1.0,0.0,2,2.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,View Bio
Lebanon Valley,,Total,25.0,,5050,202.0,626,1409,0.444,153,444,0.345,303,413,0.734,1708,68.32,224,643,867,34.7,390,327,403,140,28,
Lebanon Valley,,Opponents,,,5050,202.0,681,1503,0.453,222,674,0.329,247,369,0.669,1831,73.24,236,604,840,33.6,436,339,341,221,77,
Rosemont,2.0,"Mitchell, Zaire  02 Mitchell, Zaire",23.0,23.0,614,26.7,140,225,0.622,3,26,0.115,61,105,0.581,344,15.0,45,98,143,6.2,75,27,51,33,16,View Bio
Rosemont,3.0,"Sharpton, Marlon  03 Sharpton, Marlon",23.0,23.0,803,34.9,107,234,0.457,25,80,0.313,100,126,0.794,339,14.7,18,96,114,5.0,33,124,92,36,4,View Bio
Rosemont,13.0,"Briner, Chris  13 Briner, Chris",13.0,1.0,254,19.5,33,73,0.452,6,29,0.207,16,22,0.727,88,6.8,12,13,25,1.9,30,12,7,18,5,View Bio
Rosemont,10.0,"Rawls, Damian  10 Rawls, Damian",23.0,17.0,526,22.9,51,140,0.364,13,50,0.26,37,56,0.661,152,6.6,16,58,74,3.2,35,35,38,25,4,View Bio
Rosemont,11.0,"Petroski , Tyler  11 Petroski , Tyler",19.0,18.0,464,24.4,41,112,0.366,30,87,0.345,8,11,0.727,120,6.3,7,11,18,0.9,30,24,29,8,0,View Bio
Rosemont,5.0,"Carr, Jamir  05 Carr, Jamir",21.0,21.0,433,20.6,52,107,0.486,5,22,0.227,21,36,0.583,130,6.2,26,58,84,4.0,37,25,34,16,5,View Bio
Rosemont,4.0,"Morgan, Tyler  04 Morgan, Tyler",22.0,5.0,385,17.5,41,122,0.336,23,83,0.277,5,8,0.625,110,5.0,10,41,51,2.3,17,19,13,13,0,View Bio
Rosemont,11.0,"Petroski, Tyler  11 Petroski, Tyler",4.0,3.0,101,25.3,6,20,0.3,4,14,0.286,4,6,0.667,20,5.0,0,8,8,2.0,8,7,6,4,0,View Bio
Rosemont,1.0,"Myers, Kyree  01 Myers, Kyree",10.0,0.0,126,12.6,12,44,0.273,5,21,0.238,7,13,0.538,36,3.6,6,10,16,1.6,12,6,3,2,0,View Bio
